Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	MAPK signaling pathway	32/294	3.042417e-07	7.124326e-06	0	0	3.011768e+00	4.519292e+01	TGFA;ARRB1;IL1RAP;PPP3R1;RAP1A;CASP3;MKNK1;MKNK2;RAC1;PRKACA;MAP4K4;MAP3K5;MAPK3;MAP3K2;MAP3K3;MAP2K4;MEF2C;DUSP3;MAP3K1;TGFB1;HSPA1L;IL1R1;PRKCB;HGF;HSPA6;FOS;MAPK14;MAPKAPK2;GRB2;KRAS;MAP3K11;HSPA1A
KEGG_2021_Human	Pathways in cancer	46/531	7.932577e-07	1.714657e-05	0	0	2.354152e+00	3.306906e+01	GSK3B;RALB;EPAS1;LPAR1;LPAR2;TGFA;IL2RG;HIF1A;FRAT1;GNG10;FRAT2;HEY1;CASP3;E2F3;FADD;RAC1;PRKACA;BID;JAK3;IL6R;IL13RA1;MAPK3;EGLN1;ARHGEF11;HSP90AA1;RALBP1;JAG1;IL4R;TGFB1;ARHGEF12;APAF1;PRKCB;IFNGR1;IFNGR2;HGF;FOS;RBX1;GNAQ;GNB2;GNB1;GNAS;GNB4;GRB2;KRAS;IL6ST;IFNAR1
KEGG_2021_Human	Neurotrophin signaling pathway	18/119	1.178483e-06	2.357632e-05	0	0	4.352663e+00	5.941943e+01	GSK3B;MAP3K3;MAP3K1;KIDINS220;SORT1;PRKCD;IRAK3;PTPN11;FOXO3;MAPK14;RAP1A;ARHGDIB;MAPKAPK2;GRB2;KRAS;RAC1;MAP3K5;MAPK3
KEGG_2021_Human	Human cytomegalovirus infection	26/225	1.258522e-06	2.357632e-05	0	0	3.207420e+00	4.357463e+01	GSK3B;ITGB3;GNG10;PPP3R1;CASP3;CXCR2;E2F3;FADD;RAC1;PRKACA;BID;IL6R;MAPK3;ARHGEF11;ARHGEF12;IL1R1;PRKCB;IL10RB;MAPK14;GNAQ;GNB2;GNB1;GNAS;GNB4;GRB2;KRAS
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	25/219	2.506868e-06	4.402686e-05	0	0	3.160293e+00	4.075664e+01	ITGB2;GPS2;ITGAL;IL2RG;PPP3R1;HLA-DMA;HLA-DMB;E2F3;PRKACA;JAK3;HLA-DPA1;MAPK3;MAP3K3;MAP2K4;MAP3K1;TGFB1;IL1R1;IL1R2;FOS;VDAC3;HLA-DRA;ANAPC5;KRAS;LTBR;HLA-DRB1
KEGG_2021_Human	Renal cell carcinoma	13/69	2.960293e-06	4.893191e-05	0	0	5.646941e+00	7.188682e+01	EGLN1;TGFB1;EPAS1;HGF;TGFA;PTPN11;HIF1A;RBX1;RAP1A;GRB2;KRAS;RAC1;MAPK3
KEGG_2021_Human	Malaria	11/50	3.505820e-06	5.455939e-05	0	0	6.849664e+00	8.603921e+01	TGFB1;LRP1;HGF;ITGB2;PECAM1;HBB;HBA2;CD36;HBA1;ITGAL;TLR4
KEGG_2021_Human	Viral myocarditis	12/60	3.689069e-06	5.455939e-05	0	0	6.076142e+00	7.601337e+01	HLA-DMA;HLA-DMB;CASP3;ITGB2;HLA-DRA;FYN;RAC1;ITGAL;BID;CD55;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Pathogenic Escherichia coli infection	23/197	4.286616e-06	6.022695e-05	0	0	3.236719e+00	4.000589e+01	ARHGEF11;ARHGEF12;WIPF1;IL1R1;ARPC1A;LPAR1;LPAR2;PTPN11;FOS;ARPC5;TUBB4B;MAPK14;FCGR2A;ARPC2;CASP3;NCK2;MYH9;FYN;FADD;RAC1;TLR5;TLR4;MAPK3
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	18/131	4.828166e-06	6.460545e-05	0	0	3.887989e+00	4.759304e+01	FCER1G;SYK;PRKCB;IFNGR1;IFNGR2;ITGB2;PTPN11;ITGAL;PPP3R1;FCGR3B;CASP3;GRB2;FYN;KRAS;RAC1;BID;IFNAR1;MAPK3
KEGG_2021_Human	Collecting duct acid secretion	8/27	7.137126e-06	9.066471e-05	0	0	1.019724e+01	1.208393e+02	ATP6V1A;ATP6V1G1;CA2;ATP6V1B2;ATP6V0D1;ATP6V1D;ATP6V0C;ATP6V0A1
KEGG_2021_Human	Regulation of actin cytoskeleton	24/218	7.420955e-06	9.066471e-05	0	0	3.029971e+00	3.578761e+01	ARHGEF12;ITGB5;ITGB3;LIMK2;ARPC1A;ITGB2;LPAR1;LPAR2;IQGAP1;ARPC5;IQGAP2;SSH2;ITGAL;SSH1;DIAPH1;ARPC2;ITGAX;PIP4K2A;MYH9;KRAS;RAC1;ITGA5;VCL;MAPK3
KEGG_2021_Human	Inflammatory bowel disease	12/65	8.839293e-06	9.954411e-05	0	0	5.501485e+00	6.401694e+01	HLA-DMA;IL4R;HLA-DMB;TGFB1;IFNGR1;IFNGR2;HLA-DRA;TLR5;IL2RG;TLR4;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Hematopoietic cell lineage	15/99	8.856238e-06	9.954411e-05	0	0	4.348499e+00	5.059212e+01	IL4R;MME;IL1R1;IL1R2;ITGB3;GP5;HLA-DMA;HLA-DMB;HLA-DRA;CD36;ITGA5;IL6R;HLA-DRB1;CD55;HLA-DPA1
KEGG_2021_Human	Chemokine signaling pathway	22/192	9.326136e-06	1.007940e-04	0	0	3.165432e+00	3.666421e+01	LYN;GSK3B;PRKCB;PRKCD;ARRB1;FOXO3;HCK;GNG10;GRK3;RAP1A;GNAQ;GNB2;GNB1;CXCR2;GNB4;GRB2;KRAS;RAC1;PRKACA;JAK3;CCR2;MAPK3
KEGG_2021_Human	Toxoplasmosis	16/112	9.723708e-06	1.011986e-04	0	0	4.061224e+00	4.687036e+01	TGFB1;HSPA1L;IFNGR1;IL10RB;IFNGR2;HSPA6;MAPK14;HLA-DMA;HLA-DMB;CASP3;HLA-DRA;TLR4;HLA-DRB1;HLA-DPA1;MAPK3;HSPA1A
KEGG_2021_Human	Fc epsilon RI signaling pathway	12/68	1.431742e-05	1.436855e-04	0	0	5.205946e+00	5.806730e+01	LYN;MAP2K4;FCER1G;SYK;FCER1A;FYN;GRB2;KRAS;RAC1;GAB2;MAPK14;MAPK3
KEGG_2021_Human	Vibrio cholerae infection	10/50	2.380753e-05	2.306868e-04	0	0	6.063291e+00	6.454682e+01	ATP6V1A;ATP6V0B;ATP6V1G1;ATP6V1B2;GNAS;PRKACA;ATP6V0D1;ATP6V0C;ATP6V1D;ATP6V0A1
KEGG_2021_Human	Hepatitis B	19/162	2.689233e-05	2.518915e-04	0	0	3.242060e+00	3.411837e+01	MAP2K4;TGFB1;MAP3K1;APAF1;PRKCB;FOS;MAPK14;IFIH1;CASP3;VDAC3;GRB2;E2F3;KRAS;FADD;BID;JAK3;TLR4;IFNAR1;MAPK3
KEGG_2021_Human	HIF-1 signaling pathway	15/109	2.882884e-05	2.566401e-04	0	0	3.883860e+00	4.060239e+01	EGLN1;PRKCB;IFNGR1;IFNGR2;HIF1A;HK2;RBX1;HK3;MKNK1;MKNK2;PGK1;LTBR;IL6R;TLR4;MAPK3
KEGG_2021_Human	Endocytosis	25/252	2.922592e-05	2.566401e-04	0	0	2.696177e+00	2.814932e+01	RAB5B;WIPF1;ARPC1A;CLTA;ARRB1;ASAP1;IL2RG;SNX3;GRK3;KIF5B;CXCR2;SNX6;SH3GLB1;GIT2;HSPA1L;IQSEC1;IST1;HSPA6;ARPC5;IGF2R;RAB10;RAB31;ARPC2;CHMP4B;HSPA1A
KEGG_2021_Human	Insulin signaling pathway	17/137	3.412554e-05	2.820375e-04	0	0	3.452107e+00	3.550653e+01	GSK3B;PRKAB2;IRS2;PYGL;HK2;LIPE;HK3;PRKAR1A;PRKAR2B;MKNK1;MKNK2;FLOT1;FLOT2;GRB2;KRAS;PRKACA;MAPK3
KEGG_2021_Human	Yersinia infection	17/137	3.412554e-05	2.820375e-04	0	0	3.452107e+00	3.550653e+01	MAP2K4;GSK3B;GIT2;ARHGEF12;WIPF1;ARPC1A;ARPC5;FOS;MEFV;MAPK14;FCGR2A;ARPC2;GNAQ;RAC1;ITGA5;TLR4;MAPK3
KEGG_2021_Human	Platelet activation	16/124	3.555027e-05	2.854179e-04	0	0	3.607710e+00	3.695941e+01	LYN;ARHGEF12;FCER1G;SYK;ITGB3;SNAP23;MAPK14;GP5;PTGS1;RAP1A;FCGR2A;GNAQ;GNAS;FYN;PRKACA;MAPK3
KEGG_2021_Human	Lipid and atherosclerosis	22/215	5.438137e-05	4.130165e-04	0	0	2.784834e+00	2.734565e+01	LYN;MAP2K4;GSK3B;HSP90AA1;HSPA1L;APAF1;HSPA6;FOS;MAPK14;SOD2;PPP3R1;RAP1A;CASP3;KRAS;CD36;RAC1;BID;ATF6;TLR4;HSPA1A;MAP3K5;MAPK3
KEGG_2021_Human	Amoebiasis	14/102	5.438295e-05	4.130165e-04	0	0	3.868378e+00	3.798539e+01	RAB5B;TGFB1;IL1R1;PRKCB;IL1R2;ITGB2;SERPINB6;GNA15;GNAQ;CASP3;GNAS;PRKACA;TLR4;VCL
KEGG_2021_Human	Influenza A	19/172	6.171061e-05	4.563337e-04	0	0	3.028571e+00	2.935610e+01	APAF1;PRKCB;IFNGR1;IFNGR2;IFIH1;HLA-DMA;HLA-DMB;CASP3;HLA-DRA;NUP98;FADD;BID;TLR4;HLA-DRB1;IRF9;KPNA1;IFNAR1;HLA-DPA1;MAPK3
KEGG_2021_Human	C-type lectin receptor signaling pathway	14/104	6.756069e-05	4.867835e-04	0	0	3.782019e+00	3.631677e+01	ARHGEF12;FCER1G;SYK;PRKCD;PTPN11;MAPK14;PPP3R1;CLEC4D;IRF1;MAPKAPK2;BCL3;KRAS;IRF9;MAPK3
KEGG_2021_Human	GnRH signaling pathway	13/93	8.223610e-05	5.777086e-04	0	0	3.947903e+00	3.713365e+01	MAP3K2;MAP2K4;MAP3K3;MAP3K1;PRKCB;PRKCD;MAPK14;GNAQ;GNAS;GRB2;KRAS;PRKACA;MAPK3
KEGG_2021_Human	Staphylococcus aureus infection	13/95	1.027462e-04	7.041877e-04	0	0	3.851210e+00	3.536662e+01	ITGB2;FPR1;KRT23;FPR2;ITGAL;HLA-DMA;FCGR3B;HLA-DMB;FCGR2A;HLA-DRA;FCGR2C;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Measles	16/139	1.419309e-04	9.495855e-04	0	0	3.165256e+00	2.804471e+01	GSK3B;APAF1;HSPA1L;HSPA6;FOS;IL2RG;IFIH1;CASP3;FADD;CD46;BID;JAK3;TLR4;IRF9;IFNAR1;HSPA1A
KEGG_2021_Human	Asthma	7/31	1.809390e-04	1.182415e-03	0	0	7.052963e+00	6.077786e+01	HLA-DMA;HLA-DMB;FCER1G;FCER1A;HLA-DRA;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Relaxin signaling pathway	15/129	2.027627e-04	1.294916e-03	0	0	3.199128e+00	2.720371e+01	MAP2K4;TGFB1;ARRB1;FOS;MAPK14;GNG10;GNA15;GNB2;GNB1;GNAS;GNB4;GRB2;KRAS;PRKACA;MAPK3
KEGG_2021_Human	Chagas disease	13/102	2.130977e-04	1.330677e-03	0	0	3.547007e+00	2.998554e+01	MAP2K4;TGFB1;IFNGR1;IFNGR2;FOS;CFLAR;MAPK14;GNA15;GNAQ;GNAS;FADD;TLR4;MAPK3
KEGG_2021_Human	Growth hormone synthesis, secretion and action	14/119	2.893760e-04	1.767710e-03	0	0	3.239186e+00	2.639218e+01	MAP2K4;GSK3B;MAP3K1;PRKCB;IRS2;FOS;MAPK14;GNAQ;GNAS;GRB2;KRAS;PRKACA;JUNB;MAPK3
KEGG_2021_Human	NOD-like receptor signaling pathway	18/181	3.576668e-04	2.128069e-03	0	0	2.688293e+00	2.133405e+01	GSDMD;HSP90AA1;PRKCD;NEK7;CARD6;MEFV;MAPK14;PANX1;NLRP12;VDAC3;FADD;GBP2;TLR4;MCU;IRF9;GBP4;IFNAR1;MAPK3
KEGG_2021_Human	IL-17 signaling pathway	12/94	3.635135e-04	2.128069e-03	0	0	3.550452e+00	2.811849e+01	GSK3B;HSP90AA1;CASP3;ANAPC5;FOS;FADD;MAPK6;MAPK14;S100A9;S100A8;IL17RA;MAPK3
KEGG_2021_Human	Human papillomavirus infection	27/331	3.884472e-04	2.227626e-03	0	0	2.171104e+00	1.705044e+01	ATP6V1A;GSK3B;ITGB5;MAML1;ITGB3;HEY1;CASP3;FADD;PRKACA;ATP6V1D;ATP6V0A1;MAPK3;BCAP31;ATP6V1G1;ATP6V0B;JAG1;IRF1;GNAS;ATP6V1B2;GRB2;KRAS;MAML3;ITGA5;ATP6V0D1;ATP6V0C;IRF9;IFNAR1
KEGG_2021_Human	Salmonella infection	22/249	4.494949e-04	2.526162e-03	0	0	2.363487e+00	1.821631e+01	GSDMD;MAP2K4;RAB5B;HSP90AA1;MLKL;ARPC1A;M6PR;FOS;ARPC5;TUBB4B;MAPK14;PTPRC;ARPC2;KIF5B;CASP3;FADD;RAC1;TLR5;TLR4;KPNA3;KPNA1;MAPK3
KEGG_2021_Human	Epstein-Barr virus infection	19/202	5.012506e-04	2.761792e-03	0	0	2.528096e+00	1.920949e+01	LYN;MAP2K4;SYK;APAF1;ITGAL;MAPK14;HLA-DMA;HLA-DMB;CASP3;HLA-DRA;E2F3;FADD;RAC1;BID;JAK3;HLA-DRB1;IRF9;HLA-DPA1;IFNAR1
KEGG_2021_Human	TNF signaling pathway	13/112	5.371404e-04	2.902624e-03	0	0	3.187055e+00	2.399614e+01	MAP2K4;JAG1;MLKL;FOS;CFLAR;MAPK14;CASP3;IRF1;BCL3;FADD;JUNB;MAP3K5;MAPK3
KEGG_2021_Human	Non-small cell lung cancer	10/72	5.628808e-04	2.984330e-03	0	0	3.907309e+00	2.923622e+01	PRKCB;KIF5B;HGF;TGFA;E2F3;GRB2;KRAS;FOXO3;JAK3;MAPK3
KEGG_2021_Human	Intestinal immune network for IgA production	8/48	5.772324e-04	2.989938e-03	0	0	4.838384e+00	3.608111e+01	HLA-DMA;HLA-DMB;TGFB1;HLA-DRA;LTBR;HLA-DRB1;TNFSF13B;HLA-DPA1
KEGG_2021_Human	Serotonergic synapse	13/113	5.852191e-04	2.989938e-03	0	0	3.155019e+00	2.348446e+01	APP;PRKCB;PTGS1;GNG10;GNAQ;GNB2;CASP3;GNB1;GNAS;GNB4;KRAS;PRKACA;MAPK3
KEGG_2021_Human	Glutamatergic synapse	13/114	6.368815e-04	3.195780e-03	0	0	3.123618e+00	2.298647e+01	PRKCB;GNG10;GRK3;PPP3R1;GNAQ;GNB2;GNB1;GNAS;GNB4;HOMER3;PRKACA;GLUL;MAPK3
KEGG_2021_Human	Necroptosis	16/159	6.545068e-04	3.226604e-03	0	0	2.719709e+00	1.993990e+01	HSP90AA1;MLKL;IFNGR1;IFNGR2;PYGL;CFLAR;FTH1;VDAC3;CHMP4B;FADD;BID;GLUL;JAK3;TLR4;IRF9;IFNAR1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	11/89	8.326170e-04	4.033886e-03	0	0	3.417861e+00	2.423584e+01	MAP3K3;PPP3R1;IFNGR1;IFNGR2;PTPN11;KRAS;FOS;MAPK14;TLR4;HIF1A;MAPK3
KEGG_2021_Human	Synaptic vesicle cycle	10/78	1.065540e-03	5.074861e-03	0	0	3.561430e+00	2.437540e+01	ATP6V1A;NAPA;ATP6V0B;ATP6V1G1;ATP6V1B2;CLTA;ATP6V0D1;ATP6V0C;ATP6V1D;ATP6V0A1
KEGG_2021_Human	Estrogen signaling pathway	14/137	1.198084e-03	5.611029e-03	0	0	2.762552e+00	1.858377e+01	HSP90AA1;HSPA1L;PRKCD;HSPA6;TGFA;KRT23;FOS;GNAQ;GNAS;GRB2;KRAS;PRKACA;MAPK3;HSPA1A
KEGG_2021_Human	Proteoglycans in cancer	18/205	1.535549e-03	7.073596e-03	0	0	2.340318e+00	1.516261e+01	TGFB1;ARHGEF12;ITGB5;PRKCB;HGF;ITGB3;PTPN11;IQGAP1;MAPK14;HIF1A;CASP3;GRB2;KRAS;RAC1;ITGA5;PRKACA;TLR4;MAPK3
KEGG_2021_Human	Neutrophil extracellular trap formation	17/189	1.581957e-03	7.169837e-03	0	0	2.401883e+00	1.548997e+01	GSDMD;SYK;PRKCB;ITGB3;ITGB2;FPR1;FPR2;ITGAL;MAPK14;FCGR3B;CLCN4;FCGR2A;VDAC3;PADI4;RAC1;TLR4;MAPK3
KEGG_2021_Human	Legionellosis	8/57	1.843305e-03	8.206495e-03	0	0	3.947846e+00	2.485641e+01	APAF1;HSPA1L;CASP3;ITGB2;HSPA6;TLR5;TLR4;HSPA1A
KEGG_2021_Human	Lysosome	13/128	1.869095e-03	8.206495e-03	0	0	2.741340e+00	1.722192e+01	ATP6V0B;SORT1;M6PR;CLTA;LIPA;GNS;LITAF;IGF2R;GM2A;LAMP2;ATP6V0D1;ATP6V0C;ATP6V0A1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	18/212	2.226964e-03	9.451295e-03	0	0	2.255043e+00	1.377181e+01	PRKCB;LIMK2;FOS;MAPK14;RBX1;GNG10;PPP3R1;GNAQ;GNB2;CASP3;GNB1;GNB4;KRAS;FADD;RAC1;BID;TLR4;MAPK3
KEGG_2021_Human	PI3K-Akt signaling pathway	26/354	2.239638e-03	9.451295e-03	0	0	1.932754e+00	1.179258e+01	GSK3B;ITGB5;ITGB3;LPAR1;LPAR2;TGFA;FOXO3;IL2RG;GNG10;RAC1;JAK3;IL6R;MCL1;MAPK3;HSP90AA1;IL4R;SYK;HGF;GNB2;GNB1;GNB4;GRB2;KRAS;ITGA5;TLR4;IFNAR1
KEGG_2021_Human	Colorectal cancer	10/86	2.253512e-03	9.451295e-03	0	0	3.185210e+00	1.941470e+01	GSK3B;RALB;TGFB1;CASP3;TGFA;GRB2;KRAS;RAC1;FOS;MAPK3
KEGG_2021_Human	Dopaminergic synapse	13/132	2.459626e-03	1.014996e-02	0	0	2.648639e+00	1.591235e+01	GSK3B;PRKCB;ARRB1;FOS;MAPK14;GNG10;KIF5B;GNAQ;GNB2;GNB1;GNAS;GNB4;PRKACA
KEGG_2021_Human	Phospholipase D signaling pathway	14/148	2.492340e-03	1.014996e-02	0	0	2.534313e+00	1.519202e+01	FCER1G;RALB;SYK;LPAR1;LPAR2;PTPN11;GAB2;CXCR2;GNAS;FCER1A;GRB2;FYN;KRAS;MAPK3
KEGG_2021_Human	Longevity regulating pathway	11/102	2.544954e-03	1.021617e-02	0	0	2.927603e+00	1.748846e+01	PRKAB2;HSPA1L;HSPA6;IRS2;KRAS;PRKACA;ADIPOR1;FOXO3;SOD2;ADIPOR2;HSPA1A
KEGG_2021_Human	Gap junction	10/88	2.675074e-03	1.058726e-02	0	0	3.103213e+00	1.838275e+01	MAP3K2;PRKCB;GNAQ;LPAR1;GNAS;GRB2;KRAS;PRKACA;TUBB4B;MAPK3
KEGG_2021_Human	Starch and sucrose metabolism	6/36	2.803910e-03	1.094304e-02	0	0	4.828715e+00	2.837711e+01	HK3;MGAM;MGAM2;PYGL;HK2;GANC
KEGG_2021_Human	Sphingolipid signaling pathway	12/119	2.920739e-03	1.124285e-02	0	0	2.717349e+00	1.585823e+01	FCER1G;PRKCB;GNAQ;FCER1A;FYN;KRAS;RAC1;GAB2;BID;MAPK14;MAP3K5;MAPK3
KEGG_2021_Human	T cell receptor signaling pathway	11/104	2.965747e-03	1.126182e-02	0	0	2.864344e+00	1.667228e+01	GSK3B;PPP3R1;PTPRC;GRAP2;NCK2;GRB2;FYN;KRAS;FOS;MAPK14;MAPK3
KEGG_2021_Human	African trypanosomiasis	6/37	3.235310e-03	1.212163e-02	0	0	4.672707e+00	2.679157e+01	PRKCB;GNAQ;HBB;F2RL1;HBA2;HBA1
KEGG_2021_Human	Apelin signaling pathway	13/137	3.404411e-03	1.255661e-02	0	0	2.541173e+00	1.444068e+01	MEF2A;MEF2C;PRKAB2;JAG1;LIPE;GNG10;GNAQ;GNB2;GNB1;GNB4;KRAS;PRKACA;MAPK3
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	11/106	3.440780e-03	1.255661e-02	0	0	2.803749e+00	1.590302e+01	MEF2A;ARHGEF11;MEF2C;MAFB;PRKCB;GNAQ;GNAS;ARRB1;FOS;PRKACA;MAPK3
KEGG_2021_Human	Non-alcoholic fatty liver disease	14/155	3.799615e-03	1.361362e-02	0	0	2.407612e+00	1.341727e+01	GSK3B;PRKAB2;TGFB1;IRS2;FOS;ADIPOR1;MAPK14;ADIPOR2;CASP3;RAC1;BID;IL6R;MAP3K11;MAP3K5
KEGG_2021_Human	Fluid shear stress and atherosclerosis	13/139	3.856569e-03	1.361362e-02	0	0	2.500575e+00	1.389814e+01	MEF2A;MAP2K4;MEF2C;HSP90AA1;BMPR2;IL1R1;IL1R2;ITGB3;FOS;MAPK14;PECAM1;RAC1;MAP3K5
KEGG_2021_Human	Antigen processing and presentation	9/78	3.875763e-03	1.361362e-02	0	0	3.154675e+00	1.751795e+01	HSP90AA1;HLA-DMA;HLA-DMB;HSPA1L;HSPA6;HLA-DRA;HLA-DRB1;HLA-DPA1;HSPA1A
KEGG_2021_Human	Shigellosis	19/246	4.871592e-03	1.690022e-02	0	0	2.033353e+00	1.082625e+01	GSK3B;IL1R1;PRKCD;ARPC1A;WIPI1;ARPC5;FOXO3;MAPK14;HK2;RBX1;DIAPH1;HK3;ARPC2;RAC1;ITGA5;TLR5;TLR4;VCL;MAPK3
KEGG_2021_Human	Circadian entrainment	10/97	5.413525e-03	1.855122e-02	0	0	2.780882e+00	1.451302e+01	GNG10;PRKCB;GNAQ;GNB2;GNB1;GNAS;GNB4;FOS;PRKACA;MAPK3
KEGG_2021_Human	Cholinergic synapse	11/113	5.602141e-03	1.879194e-02	0	0	2.610378e+00	1.353378e+01	GNG10;PRKCB;GNAQ;GNB2;GNB1;GNB4;FYN;KRAS;FOS;PRKACA;MAPK3
KEGG_2021_Human	JAK-STAT signaling pathway	14/162	5.617521e-03	1.879194e-02	0	0	2.292896e+00	1.188148e+01	IL4R;IFNGR1;IL10RB;IFNGR2;PTPN11;IL2RG;GRB2;IL6ST;IL6R;JAK3;IRF9;IL13RA1;IFNAR1;MCL1
KEGG_2021_Human	Ras signaling pathway	18/232	5.764974e-03	1.901235e-02	0	0	2.042140e+00	1.052918e+01	RALBP1;RAB5B;RALB;PRKCB;HGF;TGFA;PTPN11;GAB2;GNG10;RAP1A;GNB2;GNB1;GNB4;GRB2;KRAS;RAC1;PRKACA;MAPK3
KEGG_2021_Human	Choline metabolism in cancer	10/98	5.818726e-03	1.901235e-02	0	0	2.749137e+00	1.414891e+01	SLC22A4;LYPLA1;PRKCB;GRB2;KRAS;RAC1;FOS;GPCPD1;HIF1A;MAPK3
KEGG_2021_Human	beta-Alanine metabolism	5/30	6.273250e-03	2.026188e-02	0	0	4.823899e+00	2.446422e+01	AOC3;HADHA;AOC2;DPYD;ABAT
